Property_ID,TotalBsmtSF,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,BsmtFullBath,BsmtHalfBath,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2
1,856,706,0,150,1,0,Gd,TA,No,GLQ,Unf
2,1262,978,0,284,0,1,Gd,TA,Gd,ALQ,Unf
3,920,486,0,434,1,0,Gd,TA,Mn,GLQ,Unf
4,756,216,0,540,1,0,TA,Gd,No,ALQ,Unf
5,1145,655,0,490,1,0,Gd,TA,Av,GLQ,Unf
6,796,732,0,64,1,0,Gd,TA,No,GLQ,Unf
7,1686,1369,0,317,1,0,Ex,TA,Av,GLQ,Unf
8,1107,859,32,216,1,0,Gd,TA,Mn,ALQ,BLQ
9,952,0,0,952,0,0,TA,TA,No,Unf,Unf
10,991,851,0,140,1,0,TA,TA,No,GLQ,Unf
11,1040,906,0,134,1,0,TA,TA,No,Rec,Unf
12,1175,998,0,177,1,0,Ex,TA,No,GLQ,Unf
13,912,737,0,175,1,0,TA,TA,No,ALQ,Unf
14,1494,0,0,1494,0,0,Gd,TA,Av,Unf,Unf
15,1253,733,0,520,1,0,TA,TA,No,BLQ,Unf
16,832,0,0,832,0,0,TA,TA,No,Unf,Unf
17,1004,578,0,426,1,0,TA,TA,No,ALQ,Unf
18,0,0,0,0,0,0,No_Feature,No_Feature,No_Feature,No_Feature,No_Feature
19,1114,646,0,468,1,0,TA,TA,No,GLQ,Unf
20,1029,504,0,525,0,0,TA,TA,No,LwQ,Unf
21,1158,0,0,1158,0,0,Ex,TA,Av,Unf,Unf
22,637,0,0,637,0,0,TA,TA,No,Unf,Unf
23,1777,0,0,1777,0,0,Gd,TA,No,Unf,Unf
24,1040,840,0,200,1,0,Gd,TA,No,GLQ,Unf
25,1060,188,668,204,1,0,TA,TA,Mn,Rec,ALQ
26,1566,0,0,1566,0,0,Gd,TA,No,Unf,Unf
27,900,234,486,180,0,1,TA,TA,Mn,BLQ,Rec
28,1704,1218,0,486,1,0,Ex,TA,No,GLQ,Unf
29,1484,1277,0,207,1,0,TA,TA,Gd,BLQ,Unf
30,520,0,0,520,0,0,TA,TA,No,Unf,Unf
31,649,0,0,649,0,0,TA,TA,No,Unf,Unf
32,1228,0,0,1228,0,0,TA,TA,No,Unf,Unf
33,1234,0,0,1234,0,0,Ex,TA,Av,Unf,Unf
34,1398,1018,0,380,0,1,TA,TA,No,Rec,Unf
35,1561,1153,0,408,1,0,Ex,TA,No,GLQ,Unf
36,1117,0,0,1117,0,0,Ex,TA,Av,Unf,Unf
37,1097,0,0,1097,0,0,Gd,TA,No,Unf,Unf
38,1297,1213,0,84,0,1,TA,TA,No,Rec,Unf
39,1057,731,0,326,1,0,TA,TA,No,GLQ,Unf
40,0,0,0,0,0,0,No_Feature,No_Feature,No_Feature,No_Feature,No_Feature
41,1088,643,0,445,0,0,TA,TA,No,Rec,Unf
42,1350,967,0,383,0,1,TA,TA,Gd,BLQ,Unf
43,840,747,93,0,1,0,Gd,TA,Av,ALQ,LwQ
44,938,280,491,167,1,0,Gd,TA,Av,LwQ,BLQ
45,1150,179,506,465,1,0,TA,TA,No,ALQ,BLQ
46,1752,456,0,1296,1,0,Ex,TA,No,GLQ,Unf
47,1434,1351,0,83,1,0,Ex,TA,No,GLQ,Unf
48,1656,24,0,1632,0,0,Gd,TA,Av,GLQ,Unf
49,736,0,0,736,0,0,TA,TA,No,Unf,Unf
50,955,763,0,192,1,0,TA,TA,No,BLQ,Unf
