Property_ID,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,HasGarage
1,Attchd,2003.0,RFn,2,548,TA,TA,Y,1
2,Attchd,1976.0,RFn,2,460,TA,TA,Y,1
3,Attchd,2001.0,RFn,2,608,TA,TA,Y,1
4,Detchd,1998.0,Unf,3,642,TA,TA,Y,1
5,Attchd,2000.0,RFn,3,836,TA,TA,Y,1
6,Attchd,1993.0,Unf,2,480,TA,TA,Y,1
7,Attchd,2004.0,RFn,2,636,TA,TA,Y,1
8,Attchd,1973.0,RFn,2,484,TA,TA,Y,1
9,Detchd,1931.0,Unf,2,468,Fa,TA,Y,1
10,Attchd,1939.0,RFn,1,205,Gd,TA,Y,1
11,Detchd,1965.0,Unf,1,384,TA,TA,Y,1
12,BuiltIn,2005.0,Fin,3,736,TA,TA,Y,1
13,Detchd,1962.0,Unf,1,352,TA,TA,Y,1
14,Attchd,2006.0,RFn,3,840,TA,TA,Y,1
15,Attchd,1960.0,RFn,1,352,TA,TA,Y,1
16,Detchd,1991.0,Unf,2,576,TA,TA,Y,1
17,Attchd,1970.0,Fin,2,480,TA,TA,Y,1
18,CarPort,1967.0,Unf,2,516,TA,TA,Y,1
19,Detchd,2004.0,Unf,2,576,TA,TA,Y,1
20,Attchd,1958.0,Unf,1,294,TA,TA,Y,1
21,BuiltIn,2005.0,RFn,3,853,TA,TA,Y,1
22,Attchd,1930.0,Unf,1,280,TA,TA,N,1
23,Attchd,2002.0,RFn,2,534,TA,TA,Y,1
24,Attchd,1976.0,Unf,2,572,TA,TA,Y,1
25,Attchd,1968.0,Unf,1,270,TA,TA,Y,1
26,Attchd,2007.0,RFn,3,890,TA,TA,Y,1
27,Detchd,2005.0,Unf,2,576,TA,TA,Y,1
28,Attchd,2008.0,RFn,3,772,TA,TA,Y,1
29,Attchd,1957.0,RFn,1,319,TA,TA,Y,1
30,Detchd,1920.0,Unf,1,240,Fa,TA,Y,1
31,Detchd,1920.0,Unf,1,250,TA,Fa,N,1
32,Attchd,1966.0,Unf,1,271,TA,TA,Y,1
33,Attchd,2007.0,RFn,2,484,TA,TA,Y,1
34,Attchd,1959.0,RFn,2,447,TA,TA,Y,1
35,Attchd,2005.0,Fin,2,556,TA,TA,Y,1
36,BuiltIn,2004.0,Fin,3,691,TA,TA,Y,1
37,Attchd,1995.0,Unf,2,672,TA,TA,Y,1
38,Attchd,1954.0,Fin,2,498,TA,TA,Y,1
