Property_ID,MSZoning,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2
1,RL,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm
2,RL,Pave,No_Feature,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm
3,RL,Pave,No_Feature,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm
4,RL,Pave,No_Feature,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm
5,RL,Pave,No_Feature,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm
6,RL,Pave,No_Feature,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm
7,RL,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm
8,RL,Pave,No_Feature,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm
9,RM,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm
10,RL,Pave,No_Feature,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery
11,RL,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm
12,RL,Pave,No_Feature,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm
13,RL,Pave,No_Feature,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm
14,RL,Pave,No_Feature,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm
15,RL,Pave,No_Feature,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm
16,RM,Pave,No_Feature,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm
17,RL,Pave,No_Feature,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm
18,RL,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm
19,RL,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm
20,RL,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm
21,RL,Pave,No_Feature,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm
22,RM,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm
23,RL,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm
24,RM,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm
25,RL,Pave,No_Feature,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm
26,RL,Pave,No_Feature,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm
27,RL,Pave,No_Feature,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm
28,RL,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm
29,RL,Pave,No_Feature,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm
30,RM,Pave,No_Feature,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn
31,C (all),Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm
32,RL,Pave,No_Feature,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm
33,RL,Pave,No_Feature,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm
34,RL,Pave,No_Feature,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm
35,RL,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm
36,RL,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm
37,RL,Pave,No_Feature,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm
38,RL,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm
39,RL,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm
40,RL,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm
41,RL,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm
42,RL,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm
43,RL,Pave,No_Feature,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm
44,RL,Pave,No_Feature,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm
45,RL,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm
46,RL,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm
47,RL,Pave,No_Feature,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm
48,FV,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm
49,RM,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm
50,RL,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm
51,RL,Pave,No_Feature,IR2,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm
52,RM,Pave,No_Feature,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm
53,RM,Grvl,No_Feature,IR2,Bnk,AllPub,Corner,Mod,IDOTRR,RRNn,Norm
54,RL,Pave,No_Feature,IR1,Low,AllPub,Inside,Gtl,Veenker,Norm,Norm
55,RL,Pave,No_Feature,Reg,Bnk,AllPub,Inside,Mod,NAmes,Norm,Norm
