Property_ID,OverallQual,OverallCond,ExterQual,ExterCond,KitchenQual,FireplaceQu,TotalBathrooms,IsRemodeled
1,7,5,Gd,TA,Gd,No_Feature,3.5,0
2,6,8,TA,TA,TA,TA,2.5,0
3,7,5,Gd,TA,Gd,TA,3.5,1
4,7,5,TA,TA,Gd,Gd,2.0,1
5,8,5,Gd,TA,Gd,TA,3.5,0
6,5,5,TA,TA,TA,No_Feature,2.5,1
7,8,5,Gd,TA,Gd,Gd,3.0,1
8,7,6,TA,TA,TA,TA,3.5,0
9,7,5,TA,TA,TA,TA,2.0,1
10,5,6,TA,TA,TA,TA,2.0,1
11,5,5,TA,TA,TA,No_Feature,2.0,0
12,9,5,Ex,TA,Ex,Gd,4.0,1
13,5,6,TA,TA,TA,No_Feature,2.0,0
14,7,5,Gd,TA,Gd,Gd,2.0,1
15,6,5,TA,TA,TA,Fa,2.5,0
16,7,8,TA,TA,TA,No_Feature,1.0,1
17,6,7,TA,TA,TA,TA,2.0,0
18,4,5,TA,TA,TA,No_Feature,2.0,0
19,5,5,TA,TA,Gd,No_Feature,2.5,0
20,5,6,TA,TA,TA,No_Feature,1.0,1
21,8,5,Gd,TA,Gd,Gd,3.5,1
22,7,7,TA,TA,Gd,Gd,1.0,1
23,8,5,Gd,TA,Gd,Gd,2.0,0
24,5,7,TA,TA,TA,TA,2.0,0
25,5,8,TA,Gd,Gd,TA,2.0,1
26,8,5,Gd,TA,Gd,Gd,2.0,0
27,5,7,TA,TA,Gd,No_Feature,1.5,1
28,8,5,Gd,TA,Gd,Gd,3.0,1
29,5,6,TA,TA,TA,Gd,2.0,1
30,4,6,TA,TA,Fa,No_Feature,1.0,1
31,4,4,TA,Fa,TA,No_Feature,1.0,1
32,5,6,TA,TA,Gd,No_Feature,1.5,1
33,8,5,Gd,TA,Gd,No_Feature,2.0,0
34,5,5,TA,TA,Gd,Gd,2.0,0
35,9,5,Ex,TA,Ex,Gd,3.0,0
36,8,5,Gd,TA,Gd,Gd,3.5,1
37,5,5,TA,TA,TA,No_Feature,1.5,1
38,5,6,TA,TA,TA,TA,1.5,1
39,5,7,TA,Gd,Gd,No_Feature,2.0,1
40,4,5,TA,TA,Fa,No_Feature,2.0,0
41,6,5,TA,TA,TA,TA,2.0,0
42,5,6,TA,Gd,TA,Gd,2.0,0
43,5,7,TA,TA,Gd,No_Feature,2.0,0
