Id,SalePrice,LotFrontage,LotArea,GrLivArea,TotalSF,YearBuilt,YearRemodAdd,HouseAge,YearsSinceRemodel,MoSold,YrSold
1,208500,65.0,8450,1710,2566,2003,2003,5,5,2,2008
2,181500,80.0,9600,1262,2524,1976,1976,31,31,5,2007
3,223500,68.0,11250,1786,2706,2001,2002,7,6,9,2008
4,140000,60.0,9550,1717,2473,1915,1970,91,36,2,2006
5,250000,84.0,14260,2198,3343,2000,2000,8,8,12,2008
6,143000,85.0,14115,1362,2158,1993,1995,16,14,10,2009
7,307000,75.0,10084,1694,3380,2004,2005,3,2,8,2007
8,200000,69.0,10382,2090,3197,1973,1973,36,36,11,2009
9,129900,51.0,6120,1774,2726,1931,1950,77,58,4,2008
10,118000,50.0,7420,1077,2068,1939,1950,69,58,1,2008
11,129500,70.0,11200,1040,2080,1965,1965,43,43,2,2008
12,345000,85.0,11924,2324,3499,2005,2006,1,0,7,2006
13,144000,69.0,12968,912,1824,1962,1962,46,46,9,2008
14,279500,91.0,10652,1494,2988,2006,2007,1,0,8,2007
15,157000,69.0,10920,1253,2506,1960,1960,48,48,5,2008
16,132000,51.0,6120,854,1686,1929,2001,78,6,7,2007
17,149000,69.0,11241,1004,2008,1970,1970,40,40,3,2010
18,90000,72.0,10791,1296,1296,1967,1967,39,39,10,2006
19,159000,66.0,13695,1114,2228,2004,2004,4,4,6,2008
20,139000,70.0,7560,1339,2368,1958,1965,51,44,5,2009
21,325300,101.0,14215,2376,3534,2005,2006,1,0,11,2006
22,139400,57.0,7449,1108,1745,1930,1950,77,57,6,2007
23,230000,75.0,9742,1795,3572,2002,2002,6,6,9,2008
24,129900,44.0,4224,1060,2100,1976,1976,31,31,6,2007
25,154000,69.0,8246,1060,2120,1968,2001,42,9,5,2010
26,256300,110.0,14230,1600,3166,2007,2007,2,2,7,2009
27,134800,60.0,7200,900,1800,1951,2000,59,10,5,2010
28,306000,98.0,11478,1704,3408,2007,2008,3,2,5,2010
29,207500,47.0,16321,1600,3084,1957,1997,49,9,12,2006
30,68500,60.0,6324,520,1040,1927,1950,81,58,5,2008
31,40000,50.0,8500,1317,1966,1920,1950,88,58,7,2008
32,149350,69.0,8544,1228,2456,1966,2006,42,2,6,2008
33,179900,85.0,11049,1234,2468,2007,2007,1,1,1,2008
34,165500,70.0,10552,1700,3098,1959,1959,51,51,4,2010
35,277500,60.0,7313,1561,3122,2005,2005,2,2,8,2007
36,309000,108.0,13418,2452,3569,2004,2005,2,1,9,2006
37,145000,112.0,10859,1097,2194,1994,1995,15,14,6,2009
38,153000,74.0,8532,1297,2594,1954,1990,55,19,10,2009
39,109000,68.0,7922,1057,2114,1953,2007,57,3,1,2010
40,82000,65.0,6040,1152,1152,1955,1955,53,53,6,2008
41,160000,84.0,8658,1324,2412,1965,1965,41,41,12,2006
42,170000,115.0,16905,1328,2678,1959,1959,48,48,7,2007
43,144000,69.0,9180,884,1724,1983,1983,24,24,12,2007
44,130250,69.0,9200,938,1876,1975,1980,33,28,7,2008
